number,length,result,callernumber,callername,callercity,callerstate
8008865631,1,lead,9882351341,Karyn Kleinschmidt  ,Tin Shack,IL
8001961621,0,hangup,9803631401,Clementina Currence  ,Kensington,KY
8009880918,1,connected,9660023797,Wan Whitford  ,Calexico,DC
8003856258,15,sale,9659796815,Gonzalo Gile  ,Tangipahoa,MT
8001961621,10,sale,9657960493,Berta Brockington Bells,Vermont,MO
8007590252,0,hangup,9565240636,Elizebeth Eells  ,Indialantic,MO
8008335685,5,connected,9551708039,Glendora Guillory  ,Lionilli,CA
8004564735,15,lead,9467650673,Stefania Simonson  ,Kipling,IN
8003661331,15,lead,9395875748,Odette Okeeffe  ,Nuckles,NY
8009285013,0,hangup,9369275385,Aurora Abels  ,Bitter Lick,AL
8009256650,0,hangup,9366677801,John Cleese,Provost,ME
8003856258,15,sale,9265289872,Violet Varden  ,Ben Franklin,CO
8008097570,0,hangup,9167853191,Tyler Torrey  ,Bienfait,WV
8002647957,0,hangup,9159166364,Jeff J'Aquith  ,Treat,NH
8008865631,5,connected,9118908366,Isaiah Ivie  ,Tuckaleechee,AR
8008519961,15,sale,9047196379,Cherish Catchings  ,Little Chief,PA
8004455001,1,sale,8933118138,Stephan Schroth  ,Manly,AL
8001003659,0,hangup,8888048996,Alison Avis  ,Old Corral,WY
8008865631,5,sale,8874402439,Solomon Sievers  ,Dialtown,DC
8002780879,1,sale,8612293764,Vinnie Vibbert  ,Moonlight Forest,HI
8004455001,0,hangup,8479870339,Leighann Langton  ,Toast,TX
8005823913,5,connected,8420495691,Wendi Weber  ,White Earth,ND
8004868772,10,connected,8372609790,Clotilde Corney  ,Cape Horn,MS
8003514321,1,connected,8293555180,Kendrick Kalman  ,Hell,ID
8007929658,10,lead,8280617138,Jena Jury  ,Bible Grove,RI
8008643993,5,connected,8220806678,Dorthey Darsey  ,Gassaway,NJ
8001862915,10,lead,8072830737,"Antonina August, OFM  ",Casper,OH
8001003659,1,lead,8008077918,Santo Saldana  ,Cohowfoochee,OH
8008567471,10,connected,7887655085,Pierre Preston  ,Spiderweb,UT
8002071805,0,hangup,7816620520,Carmina Calandra  ,Birch Hills,SC
8008342387,10,lead,7563822958,Sheldon Stickel  ,Grandview,LA
8009540625,1,lead,7310186366,Claudia Cash  ,Noodle,MT
8008335685,1,connected,7252888754,Shawanna Sanon  ,Pelican,RI
8006404614,10,lead,7172053366,Luvenia Leider  ,Copper Spur,DE
8001074445,0,hangup,7128275863,Micheal Palin,Toadvine,WI
8006810950,1,connected,7117074715,Sherise Siller  ,Agricola,KY
8002324927,0,hangup,7108354412,Robert'); DROP TABLE Students;--,Magrath,SD
8002647957,5,sale,6982422341,Haley Habib  ,Little Chief,KS
8009540625,15,lead,6838312583,Hassan Heyne  ,Headquarters,OR
8002786469,0,hangup,6808378061,Carletta Cassady  ,Lake Lenore,CT
8006816377,0,hangup,6694362040,Vashti Vanduzer  ,California,OH
8007929658,15,sale,6613938527,Vernia Villines  ,Two Mile,MA
